Wavel.,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,G2,G3,G4,G5,G6,G7,G8,G9
300,236,493,484,468,449,439,488,500,456,475,4876,5058,5127,5379,5361,5184,5485,5561,5790,6010,5919,6215,5932,5948,5421,4655,4079,3824,4025,3878,4241,4492,4419,4686,6280,6483,6351,6486,6434,6138,5630,5339,4855,4379,4383,4222,3143,4139,3844,3800,3856,3685,3912,4451,4357,4546,4659,4611
301,169,164,164,166,165,156,168,148,171,156,4985,5035,5166,5419,5382,5290,5422,5625,5793,6128,5862,6273,5995,6100,5399,4750,4136,3944,4129,3986,4421,4512,4613,4744,6755,6927,6653,6894,6749,6649,5869,5444,4897,4488,4418,4313,3065,4237,3863,3935,3781,3808,4053,4670,4394,4599,4677,4665
302,145,137,149,160,140,149,140,142,142,159,4884,5041,5095,5419,5314,5247,5528,5688,5743,6141,5941,6280,5928,6050,5435,4778,4236,4022,4185,4142,4426,4586,4595,4760,6850,7158,6822,6972,6898,6646,6143,5557,4979,4508,4414,4378,3190,4305,3906,3926,3924,3931,4099,4660,4433,4637,4804,4804
303,157,160,152,146,145,153,144,144,153,163,4911,5026,5184,5374,5394,5249,5488,5609,5777,5996,5880,6224,6023,5917,5476,4913,4284,4082,4288,4128,4509,4628,4652,4823,7065,7286,7059,7189,7038,6729,6259,5580,4970,4550,4482,4374,3188,4311,4013,3971,4003,3976,4114,4913,4568,4719,4871,4814
304,176,155,173,174,165,181,173,159,167,175,5048,5095,5113,5370,5336,5304,5411,5680,5738,6121,5964,6216,5997,6050,5425,4931,4454,4239,4409,4274,4576,4786,4848,5004,7313,7511,7275,7401,7283,6870,6376,5755,5173,4710,4633,4498,3290,4474,4106,4150,4135,4161,4284,4910,4546,4837,4988,5041
305,203,190,208,195,186,210,186,184,201,191,4905,5095,5193,5310,5335,5253,5469,5481,5721,6052,5866,6080,5904,5965,5421,4982,4508,4262,4495,4317,4671,4960,4950,5104,7451,7778,7526,7462,7348,7001,6382,5942,5279,4770,4705,4638,3358,4611,4144,4219,4234,4235,4399,5114,4656,4880,5132,5155
306,245,208,219,220,223,236,212,203,226,229,4874,4962,5081,5264,5333,5189,5382,5471,5606,5922,5795,6076,5815,5871,5462,5055,4595,4362,4539,4490,4903,4997,4947,5240,7604,7761,7498,7611,7481,7035,6518,5920,5355,4835,4719,4552,3384,4661,4261,4280,4425,4305,4471,5146,4731,5109,5256,5202
307,274,249,254,258,253,267,242,237,259,274,4821,4983,5051,5257,5207,5100,5263,5427,5567,5910,5796,5958,5771,5868,5612,5156,4735,4488,4746,4662,5009,5155,5209,5460,7835,7989,7649,7744,7730,7227,6709,6029,5451,4991,4940,4798,3509,4787,4349,4478,4567,4527,4640,5193,4962,5237,5353,5482
308,287,262,288,276,252,296,267,259,282,306,4800,4915,4947,5195,5143,5000,5236,5339,5466,5728,5609,5946,5616,5831,5489,5128,4861,4663,4817,4776,5007,5275,5268,5426,7889,8117,7792,7822,7643,7238,6627,6022,5532,5063,4927,4932,3618,4925,4484,4517,4620,4655,4818,5323,5020,5335,5472,5526
309,342,307,315,318,293,323,303,283,337,324,4744,4882,4850,5096,5001,4887,5197,5259,5402,5566,5455,5774,5596,5697,5579,5258,5070,4786,4999,4885,5283,5463,5477,5681,8146,8230,7936,7984,7668,7420,6816,6222,5629,5175,5153,5070,3727,5059,4619,4628,4788,4755,4949,5655,5118,5425,5675,5730
