Wavel.,B6,B7,B8,B9,B10,B11,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,B2,B3,B4,B5,G8,G9,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,G2,G3,G4,G5,G6,G7
300,1010,945,1015,838,955,938,5221,5309,5295,5180,5239,5211,5446,5418,5336,5256,5618,5412,5595,5556,5584,5627,5620,5527,5366,5309,4735,4861,4896,4805,4351,4288,4852,4996,5029,4999,5261,5223,5236,5210,5097,5051,5216,4927,4982,4914,4959,4819,4817,4560,4456,4390,4030,4174,4236,4309,4621,4471
301,176,178,190,195,197,189,5161,5193,5063,5069,5200,5090,5177,5167,5100,5047,5369,5116,5261,5275,5339,5213,5256,5347,5145,5088,4746,4458,4547,4695,4237,4340,4627,4815,4810,4796,5037,5072,5059,4968,4914,4784,4912,4667,4785,4618,4684,4472,4549,4447,4201,4152,4117,3992,4036,4216,4359,4236
302,169,178,186,178,186,171,5145,5186,5057,5079,5202,4949,5181,5239,5000,5050,5351,5167,5314,5292,5313,5124,5233,5224,5089,5150,4862,4610,4646,4689,4369,4439,4655,4774,4848,4825,5049,4983,5041,5023,4878,4756,4908,4644,4755,4593,4672,4522,4512,4506,4221,4277,4129,4136,4247,4293,4433,4278
303,165,188,179,173,191,189,5073,5141,5068,5081,5166,4969,5153,5207,5069,5128,5298,5154,5250,5182,5239,5238,5204,5256,5110,5168,4877,4716,4765,4791,4477,4441,4661,4741,4797,4744,4974,4970,5008,5007,4804,4705,4841,4644,4649,4555,4668,4548,4549,4475,4269,4240,4204,4105,4279,4324,4499,4261
304,185,216,190,193,229,202,5132,5263,5114,5153,5150,5086,5196,5207,5121,5119,5373,5158,5256,5266,5310,5102,5271,5381,5214,5203,5125,4775,4849,4968,4590,4665,4613,4773,4770,4711,5046,4984,5057,4946,4838,4730,4830,4647,4716,4556,4668,4615,4592,4493,4389,4447,4383,4259,4433,4488,4676,4484
305,229,251,238,228,260,245,5176,5221,5159,5087,5222,5023,5212,5180,5062,5067,5350,5136,5301,5207,5254,5242,5293,5398,5358,5527,5131,4950,5041,5146,4751,4741,4638,4747,4815,4784,4995,4988,4993,4859,4855,4697,4836,4703,4657,4597,4681,4464,4551,4537,4442,4495,4466,4390,4495,4596,4687,4636
306,247,259,273,268,292,268,5191,5280,5101,5088,5181,5038,5143,5164,5112,5067,5297,5147,5177,5155,5307,5151,5210,5367,5325,5533,5357,5094,5181,5218,4954,4890,4576,4717,4732,4703,5032,4960,4888,4884,4876,4742,4865,4665,4678,4521,4631,4538,4631,4636,4712,4661,4734,4560,4698,4853,5016,4800
307,269,306,288,297,307,308,5100,5104,4989,4927,5156,4953,5135,5099,5050,4965,5292,4972,5088,5089,5208,5060,5151,5354,5401,5607,5452,5227,5222,5308,4916,5072,4513,4676,4717,4665,4927,4901,4877,4793,4715,4613,4742,4525,4627,4476,4632,4529,4600,4706,4623,4736,4720,4663,4842,4902,5042,4915
308,296,335,338,304,364,357,4967,5154,5016,4912,5062,4900,5096,5053,4959,4987,5219,4989,5082,5090,5146,5038,5193,5368,5544,5759,5641,5420,5485,5527,5159,5224,4510,4658,4678,4568,4767,4871,4792,4710,4719,4593,4645,4503,4590,4508,4560,4472,4576,4687,4789,4878,4886,4925,4956,5045,5207,5102
309,330,370,335,337,395,392,5003,5041,4944,4852,5013,4761,4873,4922,4818,4917,5092,4935,4946,4987,5080,4951,5102,5284,5542,5786,5748,5561,5768,5809,5301,5449,4413,4595,4496,4505,4724,4743,4797,4658,4526,4494,4572,4440,4492,4385,4452,4386,4541,4681,4845,4933,5034,4967,5125,5192,5402,5207
